banais,7,0,0,0,0,0,0,5
banana,4,0,0,5,8,6,6,4
bananeira,0,0,0,5,3,5,2,4
banca,3,0,0,1,1,5,2,3
banco,3,1,0,4,3,4,5,11
banda,24,5,0,14,10,9,8,19
bandas,4,2,1,6,1,4,7,3
bandeira,6,4,0,6,3,11,4,7
bandeja,3,4,0,0,1,2,1,6
bandida,6,1,0,1,0,0,0,5
bandido,14,4,1,0,2,3,1,9
bandinha,2,0,0,5,3,1,0,0
bando,2,2,0,2,2,2,5,1
bandoleiro,2,0,0,0,2,2,4,3
banha,1,0,0,2,1,2,2,2
banhar,7,5,0,3,2,5,5,6
banheiro,5,4,2,0,0,0,3,5
banho,16,8,0,13,7,13,14,14
banhos,2,0,0,2,0,1,2,3
baque,0,2,0,0,0,7,1,0
bar,45,31,4,4,3,10,10,17
baralho,0,1,0,1,2,0,2,4
barata,3,0,0,0,0,2,3,6
barato,1,1,0,0,2,2,3,4
barba,2,1,0,4,0,3,0,3
barco,14,4,0,4,6,9,4,23
bares,6,2,0,0,0,4,1,3
barquinho,3,0,0,2,0,3,0,2
barra,12,1,0,7,9,8,7,15
barraco,1,3,0,1,0,0,1,3
barreira,1,0,0,1,0,2,5,0
barreiras,3,2,0,0,0,0,0,7
barriga,4,5,0,5,6,8,7,12
barro,5,2,0,3,5,7,11,8
barulho,4,2,0,1,0,4,6,3
base,5,2,0,5,0,8,5,4
basta,31,22,1,0,4,7,12,37
bastião,0,0,0,3,4,2,1,0
bata,5,2,0,1,2,1,2,2
batalha,4,2,1,5,0,4,1,0
batalhão,0,0,0,2,1,3,2,1
batata,1,0,1,4,4,1,7,5
bate,90,30,1,26,27,37,40,110
batem,1,1,0,0,2,2,2,1
batendo,31,20,2,13,22,22,16,20
batente,4,0,0,4,0,0,4,4
bater,51,14,0,15,13,26,25,37
bateu,27,9,4,14,6,15,25,40
bati,2,2,0,2,1,3,5,2
batia,5,0,0,5,3,3,3,2
batida,25,13,0,1,7,4,7,12
batidas,10,2,0,0,0,3,1,6
batido,2,2,0,2,2,3,2,10
batizado,3,0,0,3,2,1,1,0
bato,5,0,0,1,3,4,4,4
batom,17,7,0,0,4,4,8,17
batuque,2,1,0,5,1,2,6,5
bb,3,0,0,0,0,0,1,5
beba,3,4,0,2,2,0,2,3
bebe,13,10,0,8,14,6,11,6
bebedeira,7,1,0,3,3,2,0,4
bebendo,32,31,1,2,6,0,7,12
beber,70,52,6,15,10,19,22,30
bebeu,5,2,0,3,3,7,5,7
bebi,4,10,0,0,1,5,0,4
bebia,6,2,1,0,0,1,0,2
bebida,18,19,1,8,10,3,7,7
bebo,25,26,2,9,13,8,7,13
bebê,8,12,1,2,1,0,0,4
beco,9,1,1,1,0,3,1,6
becos,2,0,0,0,2,4,3,2
beija,63,23,2,8,16,24,29,51
beijando,25,19,3,8,7,14,7,19
beijar,106,43,3,11,27,37,40,69
beijava,7,1,2,1,3,2,1,5
beije,7,3,0,1,4,1,3,6
beijei,18,6,1,2,2,4,0,11
beijinho,15,3,0,1,10,15,8,12
beijinhos,6,1,0,0,1,4,0,3
beijo,272,109,6,21,46,83,92,201
beijos,92,24,0,1,7,18,18,62
beijou,11,6,0,2,0,1,4,4
beira,45,9,0,16,17,35,15,27
bela,45,14,0,15,17,28,22,28
belas,5,1,0,4,1,2,2,6
beleza,51,20,0,29,26,36,31,34
belezas,0,0,0,3,4,1,1,3
belo,21,6,1,12,4,11,7,26
belém,3,2,0,11,9,7,4,7
benedito,2,0,0,3,2,3,2,1
benta,1,0,0,3,3,1,0,1
bento,2,0,0,6,4,7,3,4
benzinho,21,2,0,12,20,15,9,18
benção,6,1,0,3,4,1,3,0
berimbau,0,0,0,10,2,1,3,1
berra,4,0,0,2,2,4,2,2
berço,2,1,0,5,4,3,4,2
besta,8,6,1,3,1,5,9,8
besteira,20,11,2,7,6,12,6,20
bezerro,0,1,1,2,1,1,4,3
beça,4,0,0,1,1,1,1,1
bica,2,0,0,2,2,1,3,1
bicha,2,0,0,1,2,0,2,3
bichinha,4,1,0,7,3,1,2,1
bichinho,7,2,0,5,5,3,6,1
bicho,36,7,0,15,12,16,29,27
bichos,5,0,0,0,1,4,0,0
bicicleta,3,1,1,2,0,1,3,2
